itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
069500,1,KODEX 200,43130,2,355,0.83,43214.0,39.9522,8521906,366352,62625
102110,1,TIGER 200,42970,2,360,0.84,43038.0,39.971,1650818,70651,31347
252670,3,KODEX 200선물인버스2X,2055,5,-35,-1.67,2051.0,-51.2821,642008913,1329284,20227
122630,3,KODEX 레버리지,27825,2,475,1.74,28022.0,92.0646,46157932,1275107,19088
102780,2,KODEX 삼성그룹,10530,2,70,0.67,10545.0,37.6315,612363,6415,18522
278530,1,KODEX 200TR,13900,2,125,0.91,13910.0,40.1322,358712,4968,17577
153130,6,KODEX 단기채권,102690,2,10,0.01,102685.0,0.1316,15291,1570,17437
278540,1,KODEX MSCI Korea TR,13900,2,85,0.62,13948.0,40.8975,276979,3854,17278
310970,1,TIGER MSCI Korea TR,17525,2,150,0.86,17518.0,41.3176,207514,3620,16491
273130,6,KODEX 종합채권(AA-이상)액티브,109870,2,15,0.01,109830.0,-0.4576,6949,763,14997
148020,1,KBSTAR 200,43265,2,400,0.93,43308.0,40.1412,654373,28209,13153
114800,3,KODEX 인버스,3865,5,-35,-0.9,3868.0,-29.6664,104465568,405762,12252
233740,1,KODEX 코스닥150 레버리지,16205,2,125,0.78,16339.0,47.5906,16490755,263501,11651
305720,2,KODEX 2차전지산업,20175,2,325,1.64,20250.0,74.4288,4103690,82498,10390
152100,1,ARIRANG 200,43450,2,360,0.84,43534.0,40.1574,130861,5679,8581
292150,2,TIGER TOP10,15440,2,185,1.21,15436.0,48.3228,878431,13482,8376
139260,2,TIGER 200 IT,40980,2,425,1.05,40976.0,58.9768,433317,17640,8171
214980,6,KODEX 단기채권PLUS,102950,2,10,0.01,102944.0,0.1605,4787,492,8146
105190,1,KINDEX 200,43425,2,385,0.89,43485.0,40.1497,284592,12286,7708
364980,2,TIGER KRX2차전지K-뉴딜,18515,2,255,1.4,18514.0,87.0901,2648744,48749,7600
305540,2,TIGER 2차전지테마,18315,2,290,1.61,18387.0,69.1694,2867117,52278,6969
157450,6,TIGER 단기통안채,100065,2,5,0.0,100062.0,0.115,5066,506,6632
069660,1,KOSEF 200,43290,2,375,0.87,43357.0,40.1306,177623,7657,6580
293180,1,HANARO 200,43130,2,345,0.81,43200.0,40.0124,55121,2370,6426
133690,4,TIGER 미국나스닥100,67650,2,1040,1.56,,18.4493,118273,7975,6359
294400,1,KOSEF 200TR,50440,2,415,0.83,50525.0,40.2242,18814,946,4767
295040,1,SMART 200TR,14435,2,110,0.77,14467.0,40.3723,26535,381,4612
332940,1,HANARO MSCI Korea TR,17500,2,205,1.19,17505.0,40.4955,55,0,4463
357870,7,TIGER CD금리투자KIS(합성),50195,3,0,0.0,50197.0,0.1496,13,0,4397
371460,4,TIGER 차이나전기차SOLACTIVE,13660,2,210,1.56,,,2183188,29844,4393
364960,2,TIGER KRX BBIG K-뉴딜,13885,2,105,0.76,13931.0,42.4289,1452332,20077,4277
251340,3,KODEX 코스닥150선물인버스,4440,5,-15,-0.34,4453.0,-20.5883,55943952,250588,4245
261220,5,KODEX WTI원유선물(H),8215,2,105,1.29,,52.0149,1846418,15192,4025
315930,2,KODEX Top5PlusTR,19445,2,175,0.91,19430.0,39.2844,9133,176,4006
226490,1,KODEX 코스피,31925,2,405,1.28,31927.0,36.6276,171220,5436,3863
229200,1,KODEX 코스닥 150,15090,2,75,0.5,15192.0,22.3716,2836019,42442,3840
314250,4,KODEX 미국FANG플러스(H),27280,2,480,1.79,,25.0583,340070,9245,3819
251350,4,KODEX 선진국MSCI World,16945,2,150,0.89,,16.6724,18646,315,3796
091180,2,KODEX 자동차,26230,2,1220,4.88,26246.0,58.8945,2994541,78317,3685
192090,4,TIGER 차이나CSI300,12470,2,10,0.08,,16.8307,579804,7238,3566
332500,1,KINDEX 200TR,25880,2,230,0.9,25902.0,40.2022,25954,667,3416
232080,1,TIGER 코스닥150,15160,2,65,0.43,15270.0,22.1772,121785,1833,2532
132030,5,KODEX 골드선물(H),12565,5,-125,-0.99,,-2.1966,218169,2743,2463
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),18030,2,205,1.15,,24.6939,146328,2627,2452
148070,6,KOSEF 국고채10년,122485,5,-50,-0.04,122467.0,-0.7252,6511,797,2450
290130,2,KBSTAR ESG사회책임투자,14340,2,175,1.24,14336.0,44.3934,691445,9881,2330
168580,4,KINDEX 중국본토CSI300,33380,2,185,0.56,,17.7545,13784,459,2170
091170,2,KODEX 은행,6110,5,-25,-0.41,6145.0,6.8815,506740,3114,2145
278240,1,KBSTAR 코스닥150선물레버리지,16290,2,80,0.49,16279.0,48.9889,138450,2230,2110
306540,6,HANARO 단기통안채,102920,3,0,0.0,102931.0,0.1118,0,0,2047
245710,4,KINDEX 베트남VN30(합성),15590,2,540,3.59,,17.3489,309226,4773,2042
367770,2,KBSTAR Fn수소경제테마,13840,2,270,1.99,13838.0,36.3134,1423245,19644,1861
328370,1,ARIRANG 코스피TR,15680,2,240,1.55,15679.0,37.0008,15674,243,1850
302450,1,KBSTAR 코스피,32020,2,340,1.07,32013.0,37.5895,82,2,1841
270810,1,KBSTAR 코스닥150,14845,2,100,0.68,14951.0,21.2582,14403,211,1820
332930,1,HANARO 200TR,50535,2,570,1.14,50579.0,39.8796,3837,193,1693
325020,2,KODEX 배당가치,12825,2,150,1.18,12815.0,28.2245,142218,1810,1693
150460,2,TIGER 중국소비테마,7915,2,10,0.13,7915.0,20.8715,73948,582,1691
204480,4,TIGER 차이나CSI300레버리지(합성),36810,2,210,0.57,,43.9244,420860,15479,1620
272580,6,TIGER 단기채권액티브,50040,2,5,0.01,50036.0,0.1,2799,140,1605
161510,2,ARIRANG 고배당주,10560,2,35,0.33,10607.0,11.1991,46658,492,1603
091160,2,KODEX 반도체,36065,2,95,0.26,36203.0,43.9087,292684,10521,1497
196230,6,KBSTAR 단기통안채,104265,2,10,0.01,104264.0,0.1537,1282477,133711,1487
143860,2,TIGER 헬스케어,49890,5,-445,-0.88,50147.0,20.6206,67025,3325,1407
143850,4,TIGER 미국S&P500선물(H),44725,2,595,1.35,,15.8723,55436,2476,1398
144600,5,KODEX 은선물(H),5570,5,-415,-6.93,,19.1044,3489736,19557,1387
190620,6,KINDEX 단기통안채,100155,3,0,0.0,100158.0,0.1239,591,59,1382
267770,3,TIGER 200선물레버리지,20835,2,335,1.63,20890.0,91.4098,2167499,44714,1354
360750,4,TIGER 미국S&P500,10785,2,125,1.17,,14.0961,196555,2117,1337
139280,2,TIGER 경기방어,12900,5,-55,-0.42,12902.0,19.7873,35099,449,1269
325010,2,KODEX Fn성장,19195,2,145,0.76,19170.0,41.0066,4240,80,1267
138540,2,TIGER 현대차그룹+펀더멘털,28115,2,1110,4.11,28138.0,48.8699,328104,9256,1243
360200,4,KINDEX 미국S&P500,10860,2,125,1.16,,14.0322,116912,1267,1205
367380,4,KINDEX 미국나스닥100,11620,2,180,1.57,,18.2795,131991,1527,1197
273140,6,KODEX 단기변동금리부채권액티브,102415,2,15,0.01,102412.0,0.1515,960,98,1169
233160,1,TIGER 코스닥150 레버리지,17175,2,105,0.62,17307.0,47.6005,256576,4350,1142
176950,6,KODEX 국채선물10년인버스,46335,2,25,0.05,46350.0,1.1356,222,10,1134
252710,3,TIGER 200선물인버스2X,2125,5,-35,-1.62,2123.0,-51.2416,5765820,12333,1120
130680,5,TIGER 원유선물Enhanced(H),2470,2,30,1.23,,39.828,884160,2189,1091
219480,4,KODEX 미국S&P500선물(H),18380,2,235,1.3,,15.7575,59547,1093,1084
108450,2,KINDEX 삼성그룹섹터가중,16910,5,-5,-0.03,16984.0,39.6203,4275,71,1082
156080,1,KODEX MSCI Korea,20585,2,50,0.24,20715.0,41.0855,195,4,1029
282000,3,KBSTAR 국고채3년선물인버스,99425,5,-20,-0.02,99422.0,-0.0252,13,1,1026
368190,2,HANARO Fn K-뉴딜디지털플러스,13750,2,125,0.92,13801.0,,472127,6458,1024
371160,4,TIGER 차이나항셍테크,12585,2,70,0.56,,,565970,7104,1007
367760,2,KBSTAR Fn5G테크,12315,2,75,0.61,12331.0,24.5167,127617,1568,985
091230,2,TIGER 반도체,37090,2,220,0.6,37077.0,43.2679,71687,2638,979
283580,4,KODEX 중국본토CSI300,15015,2,40,0.27,,17.2211,42542,638,961
315960,2,KBSTAR 대형고배당10TR,16730,2,195,1.18,16716.0,39.5358,4489,75,954
225040,4,TIGER 미국S&P500레버리지(합성 H),25580,2,705,2.83,,32.8792,20028,510,946
114260,6,KODEX 국고채3년,58140,2,15,0.03,58161.0,0.1464,14536,845,942
302190,6,TIGER 중장기국채,52795,2,30,0.06,52777.0,-0.3852,3596,189,898
292190,1,KODEX KRX300,19940,2,185,0.94,19949.0,38.2435,70633,1402,857
195930,4,TIGER 유로스탁스50(합성 H),12120,2,245,2.06,,19.2269,17732,214,848
364970,2,TIGER KRX바이오K-뉴딜,12160,5,-105,-0.86,12165.0,22.1005,312086,3777,845
272560,6,KBSTAR 단기국공채액티브,101795,2,10,0.01,101791.0,0.2462,1152,117,799
245360,4,TIGER 차이나HSCEI,13495,5,-100,-0.74,,14.7257,22548,303,783
102970,2,KODEX 증권,7915,2,60,0.76,7911.0,24.8807,140449,1110,712
195980,4,ARIRANG 신흥국MSCI(합성 H),13410,2,95,0.71,,23.9181,45635,609,705
292500,1,SMART KRX300,19880,2,125,0.63,19922.0,38.8752,9503,188,696
261240,7,KODEX 미국달러선물,9880,5,-10,-0.1,9882.0,-1.3959,169488,1673,684
372330,4,KODEX 차이나항셍테크,12610,2,55,0.44,,,610555,7688,668
256750,4,KODEX 심천ChiNext(합성),14135,2,155,1.11,,22.0427,96199,1362,664
182480,7,TIGER 미국MSCI리츠(합성 H),12435,2,65,0.53,,16.1066,15436,192,659
371470,4,TIGER 차이나바이오테크SOLACTIVE,13280,2,185,1.41,,,263913,3477,659
310960,1,TIGER 200TR,22615,2,185,0.82,22667.0,40.0561,1505,33,656
277630,1,TIGER 코스피,31770,2,325,1.03,31888.0,36.9436,4759,150,651
114820,6,TIGER 국채3년,111300,2,55,0.05,111305.0,0.2297,499,55,634
336160,6,KBSTAR 금융채액티브,103450,2,80,0.08,103420.0,0.5789,11,1,631
363580,2,KODEX 200IT TR,15300,2,125,0.82,15341.0,58.8173,6502,99,627
157490,2,TIGER 소프트웨어,16950,2,445,2.7,16975.0,25.561,227965,3832,627
326240,2,KBSTAR IT플러스,21925,2,230,1.06,21995.0,42.2622,182470,3983,627
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),3005,3,0,0.0,,59.8404,223531,670,624
329200,2,TIGER 부동산인프라고배당,4980,2,15,0.3,5006.0,6.8661,77959,387,618
289260,2,TIGER MSCI KOREA ESG리더스,12390,2,150,1.23,12402.0,41.5028,12131,149,610
243880,2,TIGER 200IT레버리지,75190,2,990,1.33,75796.0,147.3333,28875,2160,602
298770,4,KODEX 한국대만IT프리미어,20050,2,65,0.33,,42.2419,224856,4510,602
266360,2,KODEX 미디어&엔터테인먼트,22170,2,480,2.21,22169.0,24.7268,51358,1126,599
136340,6,KBSTAR 중기우량회사채,105520,2,20,0.02,105492.0,0.9501,1381,145,591
266370,2,KODEX IT,22290,2,270,1.23,22284.0,50.5126,33465,742,580
304780,1,HANARO 200선물레버리지,30260,2,475,1.59,30346.0,91.9755,3493,103,575
123310,3,TIGER 인버스,4255,5,-40,-0.93,4263.0,-29.5902,777440,3322,570
337140,2,KODEX 코스피대형주,15185,2,90,0.6,15247.0,39.5101,1472,22,547
174360,4,KBSTAR 중국본토대형주CSI100,23580,2,70,0.3,,18.6175,62430,1463,542
137610,5,TIGER 농산물선물Enhanced(H),5560,5,-55,-0.98,,22.7322,63030,350,500
130730,6,KOSEF 단기자금,100905,2,10,0.01,100906.0,0.1429,237193,23933,485
122260,6,KOSEF 통안채1년,101120,2,15,0.01,101115.0,0.2508,546820,55286,475
305080,6,TIGER 미국채10년선물,11655,5,-35,-0.3,,-2.38,44710,520,466
292050,1,KBSTAR KRX300,20105,2,210,1.06,20102.0,38.4963,10624,212,462
365000,2,TIGER KRX인터넷K-뉴딜,11515,2,235,2.08,11583.0,18.8619,129331,1477,461
245340,4,TIGER 미국다우존스30,17225,2,220,1.29,,12.8925,20446,351,448
117700,2,KODEX 건설,3230,2,110,3.53,3229.0,36.8421,775675,2465,439
359210,1,KODEX 코스피TR,14395,2,75,0.52,14489.0,36.837,93,1,432
368590,4,KBSTAR 미국나스닥100,11255,2,170,1.53,,,775478,8708,428
272570,6,KBSTAR 중장기국공채액티브,104305,2,40,0.04,104285.0,0.3416,142,14,417
364990,2,TIGER KRX게임K-뉴딜,12510,2,180,1.46,12540.0,32.3671,120199,1491,413
356540,6,KINDEX KIS종합채권(AA-이상)액티브,99200,3,0,0.0,99218.0,-0.5913,0,0,397
139250,2,TIGER 200 에너지화학,22715,2,255,1.14,22726.0,61.3505,24617,555,391
304770,1,HANARO 코스닥150,14980,2,55,0.37,15065.0,22.4364,1252,18,377
228810,2,TIGER 미디어컨텐츠,6845,2,105,1.56,6841.0,30.2415,206947,1407,376
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,11410,2,180,1.6,,,126931,1446,374
169950,4,KODEX 중국본토 A50,24840,2,180,0.73,,18.7861,20830,514,373
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,98050,3,0,0.0,98056.0,-1.2787,0,0,371
099140,4,KODEX China H,23075,2,25,0.11,,14.4204,7684,176,369
306520,3,HANARO 200선물인버스,8865,5,-80,-0.89,8868.0,-29.5947,18621,165,368
304940,4,KODEX 미국나스닥100선물(H),17245,2,300,1.77,,19.9221,52765,907,354
329750,6,TIGER 미국달러단기채권액티브,9555,5,-15,-0.16,,-1.4926,101042,964,353
280930,4,KODEX 미국러셀2000(H),13985,2,85,0.61,,38.0337,34927,487,350
114100,6,KBSTAR 국고채3년,113565,5,-5,0.0,113569.0,0.3179,1026,116,341
261250,7,KODEX 미국달러선물레버리지,9035,5,-20,-0.22,9032.0,-2.8955,59849,539,341
114470,6,KOSEF 국고채3년,112975,2,60,0.05,112982.0,0.1729,253,28,339
292160,1,TIGER KRX300,19860,2,180,0.91,19862.0,38.7968,430,8,338
204450,4,KODEX China H 레버리지(H),8195,5,-15,-0.18,,35.7024,34159,277,336
289040,2,KODEX MSCI KOREA ESG유니버설,12860,2,115,0.9,12926.0,38.4573,3530,45,334
252400,3,KBSTAR 200선물레버리지,25315,2,425,1.71,25347.0,92.1265,42158,1061,329
203780,4,TIGER 미국나스닥바이오,21190,2,10,0.05,,22.8467,19229,408,318
123320,3,TIGER 레버리지,26320,2,460,1.78,26355.0,92.7692,209352,5478,316
354500,1,KINDEX 코스닥150,15025,2,85,0.57,15057.0,22.1087,646,9,316
316670,1,KOSEF 코스닥150,7460,3,0,0.0,7489.0,22.4958,532,3,307
276650,4,KBSTAR 글로벌4차산업IT(합성 H),20730,2,200,0.97,,21.1924,16485,341,290
250780,3,TIGER 코스닥150선물인버스,4540,5,-10,-0.22,4545.0,-20.4546,894665,4082,288
152870,1,파워 200,44035,2,400,0.92,44084.0,40.2152,459,20,286
252420,3,KBSTAR 200선물인버스2X,2055,5,-40,-1.91,2052.0,-51.1656,1330950,2752,284
138230,7,KOSEF 미국달러선물,11745,5,-5,-0.04,11742.0,-1.6408,6072,71,283
361580,1,KBSTAR 200TR,21745,2,200,0.93,21762.0,40.2669,968,20,283
223190,2,KODEX 200가치저변동,10845,2,60,0.56,10901.0,31.4442,17074,184,282
269540,4,ARIRANG 미국S&P500(H),15620,2,225,1.46,,15.578,13588,212,281
217780,4,TIGER 차이나CSI300인버스(합성),7270,5,-30,-0.41,,-17.4209,12928,94,276
225130,4,KINDEX 골드선물 레버리지(합성 H),18335,5,-355,-1.9,,-5.3911,36505,669,275
253250,3,KOSEF 200선물레버리지,24950,2,405,1.65,25000.0,91.9077,8082,200,274
200250,4,KOSEF 인도Nifty50(합성),15420,2,325,2.15,,23.1742,54093,830,270
363510,6,SMART KIS단기통안채,100185,2,15,0.01,100180.0,0.1099,15,1,267
279530,2,KODEX 고배당,8780,2,75,0.86,8833.0,14.1639,4293,37,263
272910,6,KINDEX 중장기국공채액티브,102465,2,35,0.03,102479.0,-0.0147,2001,205,263
139220,2,TIGER 200 건설,2825,2,80,2.91,2832.0,43.342,557309,1557,262
266420,2,KODEX 헬스케어,21810,5,-205,-0.93,21935.0,20.202,33351,724,262
227830,1,ARIRANG 코스피,32080,2,285,0.9,32186.0,37.3552,3136,101,257
228800,2,TIGER 여행레저,4525,2,40,0.89,4521.0,18.9655,265360,1193,257
332620,6,ARIRANG 미국장기우량회사채,98570,5,-415,-0.42,,-1.3996,508,49,256
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),9615,2,30,0.31,,12.6321,6290,60,250
211900,2,KODEX 배당성장,15145,2,215,1.44,15160.0,25.6734,10676,160,250
244580,2,KODEX 바이오,16320,5,-100,-0.61,16441.0,27.2868,67065,1085,248
309230,2,KINDEX 미국WideMoat가치주,14295,2,205,1.45,,16.9294,14327,203,243
227540,2,TIGER 200 헬스케어,29300,5,-180,-0.61,29309.0,15.6078,8258,240,240
266410,2,KODEX 필수소비재,9810,2,40,0.41,9815.0,14.8061,40218,393,235
278620,6,ARIRANG 단기채권액티브,105890,2,10,0.01,105891.0,0.2034,114,12,234
182490,6,TIGER 단기선진하이일드(합성 H),12235,2,75,0.62,,4.6471,1338,16,232
236350,4,TIGER 인도니프티50레버리지(합성),17810,2,565,3.28,,53.9045,40707,715,232
329650,7,KODEX TRF3070,10905,2,35,0.32,10870.0,4.8721,29069,316,229
243890,2,TIGER 200에너지화학레버리지,26915,2,275,1.03,26995.0,153.7142,39581,1056,229
292730,1,FOCUS KRX300,19980,2,195,0.99,20024.0,38.3566,23,0,220
117460,2,KODEX 에너지화학,20830,2,195,0.94,20900.0,54.5692,31687,657,219
332610,6,ARIRANG 미국단기우량회사채,94820,2,190,0.2,,-1.6167,80,7,218
306950,3,KODEX KRX300레버리지,21785,2,335,1.56,21829.0,87.664,13904,300,218
228790,2,TIGER 화장품,3675,2,10,0.27,3670.0,13.6434,218426,797,217
367740,2,HANARO Fn5G산업,12990,2,225,1.76,13007.0,31.2596,36402,470,214
139270,2,TIGER 200 금융,6120,5,-5,-0.08,6125.0,9.2774,81576,499,214
319640,4,TIGER 골드선물(H),13375,5,-130,-0.96,,-2.1377,23541,315,214
237370,7,KODEX 배당성장채권혼합,11880,2,60,0.51,11875.0,7.8467,5927,70,214
285690,2,FOCUS ESG리더스,10850,2,110,1.02,10902.0,33.2506,387,4,212
152380,6,KODEX 국채선물10년,70730,5,-30,-0.04,70735.0,-1.0073,5962,421,204
304660,6,KODEX 미국채울트라30년선물(H),12730,5,-55,-0.43,,-3.8361,15093,191,204
337150,2,KODEX 200exTOP,14485,2,175,1.22,14491.0,35.2551,1022,14,203
270800,2,KBSTAR KQ고배당,15330,2,130,0.86,15375.0,24.9486,52116,792,199
225800,3,KOSEF 미국달러선물레버리지,8600,5,-15,-0.17,8599.0,-3.3652,3513,30,199
108590,1,TREX 200,43435,2,390,0.91,43495.0,39.4847,31,1,195
138520,2,TIGER 삼성그룹펀더멘털,13030,2,55,0.42,13033.0,38.1789,16210,210,195
322410,2,HANARO 고배당,9085,2,25,0.28,9136.0,14.611,618,5,195
337120,2,KODEX Fn멀티팩터,14975,2,170,1.15,14961.0,37.1468,1826,27,195
114460,6,KINDEX 국고채3년,107370,2,80,0.07,107346.0,0.2101,49,5,193
341850,7,TIGER KIS부동산인프라채권TR,5200,2,10,0.19,5204.0,-0.4794,3220,16,192
287180,4,ARIRANG 미국나스닥기술주,21000,2,425,2.07,,21.7095,27209,570,189
230480,3,KOSEF 미국달러선물인버스2X,8880,2,25,0.28,8890.0,2.4884,1403,12,187
251590,2,ARIRANG 고배당저변동50,10120,2,90,0.9,10136.0,14.1718,3578,35,187
122090,1,ARIRANG 코스피50,30690,2,290,0.95,30722.0,41.9897,6472,197,184
219900,4,KINDEX 중국본토CSI300레버리지(합성),6345,2,30,0.48,,39.0969,30985,197,184
138530,2,TIGER LG그룹+펀더멘털,11940,2,205,1.75,11979.0,47.0551,96157,1142,184
322400,2,HANARO e커머스,16540,2,285,1.75,16563.0,21.2155,35552,582,182
275290,2,KODEX MSCI밸류,12860,2,195,1.54,12849.0,35.0933,557,7,180
304760,1,HANARO KRX300,19720,2,250,1.28,19722.0,38.4976,187,3,177
138910,5,KODEX 구리선물(H),6520,5,-40,-0.61,,14.9868,60873,397,176
360140,2,KODEX 200롱코스닥150숏선물,11625,2,65,0.56,11631.0,12.5608,2018,23,174
218420,4,KODEX 미국S&P에너지(합성),5370,2,60,1.13,,36.5038,17422,92,169
315270,2,TIGER 200커뮤니케이션서비스,29575,2,650,2.25,29626.0,23.8492,616,18,166
365040,1,TIGER AI코리아그로스액티브,13660,2,75,0.55,13715.0,38.1993,4372,59,164
143460,2,KINDEX 밸류대형,10195,2,110,1.09,10190.0,40.2642,74,0,163
256440,4,KINDEX 인도네시아MSCI(합성),9010,2,20,0.22,,21.159,27590,247,162
